0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:03 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:03 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:04 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:04 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:04 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490424963152 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:04 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:04 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:10 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490424963153 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationFrontEndJava/v_job/frmListJob.html HTTP/1.1" 200 1500
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490424963154 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:17 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:32 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490424963155 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationFrontEndJava/v_job/frmJob.html HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490424963156 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:26:35 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:27 +0530] "POST /CollaborationBackEndJava/addjob/ HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:27 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:53 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425133748 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:54 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:55 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:28:55 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:01 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425133749 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:04 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425133750 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:04 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:04 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:04 +0530] "GET /CollaborationBackEndJava/allappliedjobs HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:04 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:28 +0530] "GET /CollaborationBackEndJava/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:29:29 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425133751 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:16 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:16 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:30:17 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425216581 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:12 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425216582 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:12 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:12 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:13 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:28 +0530] "POST /CollaborationBackEndJava/authenticate HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:33:28 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425216583 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:13 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:14 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:15 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425453820 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:24 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:25 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425464705 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/ HTTP/1.1" 200 8249
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/js/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/assets/css/main.css HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/js/angular.min.js HTTP/1.1" 200 160048
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-cookies.min.js HTTP/1.1" 200 1447
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/js/angular-route.min.js HTTP/1.1" 200 4766
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/app.js HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeService.js HTTP/1.1" 200 1509
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/jQuery.headroom.min.js HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/template.js HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/assets/js/headroom.min.js HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleService.js HTTP/1.1" 200 1498
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_userrole/UserRoleController.js HTTP/1.1" 200 1799
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileController.js HTTP/1.1" 200 6799
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_job/JobService.js HTTP/1.1" 200 1389
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_job/JobController.js HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_user/UserProfileService.js HTTP/1.1" 200 2152
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_event/EventController.js HTTP/1.1" 200 1328
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_event/EventService.js HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinController.js HTTP/1.1" 200 1225
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_bulletin/BulletinService.js HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogController.js HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_blog/BlogService.js HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_forum/ForumController.js HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_forum/ForumService.js HTTP/1.1" 200 3138
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_home/HomeController.js HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_friend/FriendService.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_friend/FriendController.js HTTP/1.1" 200 3360
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_chat/stomp.min.js HTTP/1.1" 200 8057
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_chat/ChatService.js HTTP/1.1" 200 1451
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_chat/lodash.min.js HTTP/1.1" 200 28151
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_chat/ChatController.js HTTP/1.1" 200 383
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_usertype/UserTypeController.js HTTP/1.1" 200 1987
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/v_chat/sockjs.min.js HTTP/1.1" 200 33887
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:32 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/v_home/welcome.html HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/v_common/userview.html HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/v_common/adminview.html HTTP/1.1" 200 2938
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/v_common/common.html HTTP/1.1" 200 1203
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 200 44432
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:33 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425472685 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:34 +0530] "GET /CollaborationFrontEndJava/resources/assets/images/logo.png HTTP/1.1" 200 2074
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationFrontEndJava/v_user/frmLogin.html HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationFrontEndJava/resources/css/font-awesome.css HTTP/1.1" 200 37414
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425472686 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationFrontEndJava/resources/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 1134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:45 +0530] "GET /CollaborationFrontEndJava/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:57 +0530] "POST /CollaborationBackEndJava/authenticate HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:34:57 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425472687 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationFrontEndJava/v_chat/frmEnterChat.html HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:01 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:05 +0530] "GET /CollaborationFrontEndJava/v_friend/frmViewFriends.html HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:05 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425472688 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:05 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:05 +0530] "GET /CollaborationFrontEndJava/resources/images/%7B%7Bun.avtar%7D%7D HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationBackEndJava/listrequestedfriends HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationBackEndJava/viewmyfriends HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationBackEndJava/listrequestedfriends HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationBackEndJava/viewmyfriends HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:06 +0530] "GET /CollaborationFrontEndJava/resources/images/ HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationFrontEndJava/v_chat/frmChat.html HTTP/1.1" 200 856
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 913
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEndJava/allbulletins HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEndJava/allevents HTTP/1.1" 200 357
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEndJava/alljobs HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:10 +0530] "GET /CollaborationBackEnd/chat/info HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationFrontEndJava/v_friend/frmViewFriends.html HTTP/1.1" 200 2854
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490425216584 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationFrontEndJava/resources/images/%7B%7Bun.avtar%7D%7D HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationBackEndJava/allusers HTTP/1.1" 200 2111
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:35:27 +0530] "GET /CollaborationBackEndJava/viewmyfriends HTTP/1.1" 200 126
